stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
101320,1928,Ylikiimingin kirkko E2,,65.028355,26.125307,4,,0,,Europe/Helsinki
120773,2082,Peltola P,,65.013021,25.5265,2,,0,,Europe/Helsinki
148430,1361,Pentintie P,,65.184006,25.490981,4,,0,,Europe/Helsinki
120378,1598,Holopaisenkuja P,,65.097055,25.419304,2,,0,,Europe/Helsinki
187923,2914,Jokivainio P,,64.836500385807,25.20015806168924,4,,0,,Europe/Helsinki
148258,2116,Kyhälä E,,65.004333,25.832494,3,,0,,Europe/Helsinki
120552,1778,Elektroniikkatie 3E,,65.060242,25.439443,2,,0,,Europe/Helsinki
120626,1876,Menninkäisentie E,,65.043229,25.479259,2,,0,,Europe/Helsinki
121174,2591,Teeritie P,,64.940569,25.371182,3,,0,,Europe/Helsinki
120928,2289,Mäntyrinne P,,64.98791900000002,25.564164,2,,0,,Europe/Helsinki
307142,3368,Pirttilä E,,64.940276,25.560498,2,,0,,Europe/Helsinki
120461,1687,Possakan th P,,65.07490300000002,25.427677,2,,0,,Europe/Helsinki
98492,1700,Välikuja E,,65.070036,25.652572,3,,0,,Europe/Helsinki
120876,2215,Kotkantie E,,64.997978,25.511238,2,,0,,Europe/Helsinki
120302,1507,Sammalkuja P,,65.12864,25.76266,3,,0,,Europe/Helsinki
101733,1096,H Ylitalo E,,65.342626,25.71434,5,,0,,Europe/Helsinki
120485,1711,Kuivasoja E,,65.072059,25.408116,2,,0,,Europe/Helsinki
120393,1614,Kehätie E,,65.09139500000002,25.695018,3,,0,,Europe/Helsinki
101054,2628,Lentäjäntie P,,64.931736,25.385571,3,,0,,Europe/Helsinki
120736,2041,Toivoniemi E,,65.021996,25.467969,2,,0,,Europe/Helsinki
150247,1814,Syynimaa E,,65.051659,25.477143,2,,0,,Europe/Helsinki
120569,1799,Pohjantie E,,65.055705,25.455261,2,,0,,Europe/Helsinki
101072,2465,Niemenväli P,,64.965811,25.365094,3,,0,,Europe/Helsinki
148435,1352,Onkamo th E,,65.188754,25.466432,4,,0,,Europe/Helsinki
148243,2276,Joutsensuo E,,64.988496,25.648076,2,,0,,Europe/Helsinki
189253,3330,Ilmarinkatu P,,65.001539,25.468633,1,,0,,Europe/Helsinki
148458,1308,Martinniementie P,,65.203903,25.336206,3,,0,,Europe/Helsinki
147997,2897,Peräoja E,,64.834999,25.576533,4,,0,,Europe/Helsinki
101528,1517,Isohätälä E,,65.131715,25.357922,3,,0,,Europe/Helsinki
153090,2966,Niemelä E,,64.818907,25.315922,4,,0,,Europe/Helsinki
189273,3336,Ouluntullin ramppi E,,64.939849,25.53708,2,,0,,Europe/Helsinki
101659,1562,Sinkontie P,,65.11043600000002,25.809894,3,,0,,Europe/Helsinki
184245,1191,Raasakka E,,65.315428,25.514185,4,,0,,Europe/Helsinki
120538,1764,Elektroniikkatie 4P,,65.060323,25.439545,2,,0,,Europe/Helsinki
164186,3119,Mesaanitie E,,65.031359,25.432237,2,,0,,Europe/Helsinki
98497,1640,Peltotie P,,65.085034,25.672487,3,,0,,Europe/Helsinki
171808,2320,Äimärautio P,,64.98544800000002,25.475974,2,,0,,Europe/Helsinki
120822,2151,Ratakatu P,,65.00718000000002,25.483325,2,,0,,Europe/Helsinki
14040,9013,Runttilantie P,,65.088249,25.832327,3,,0,,Europe/Helsinki
190173,2710,Kirkonmäki E,,64.914164,25.486764,3,,0,,Europe/Helsinki
307210,1957,Loimukoivunpuisto E,,65.03179657000167,25.56042662487392,2,,0,,Europe/Helsinki
120442,1668,Jalopuuntie E,,65.079199,25.410581,2,,0,,Europe/Helsinki
120916,2269,Kallisensuora P,,64.99271400000002,25.465344,2,,0,,Europe/Helsinki
101676,1058,Halajärventie P,,65.368757,25.825624,5,,0,,Europe/Helsinki
147970,2998,Niittypirtti E,,64.81147300000002,25.419955,4,,0,,Europe/Helsinki
169661,3097,Muinaisranta P,,64.83630700000002,25.678349,4,,0,,Europe/Helsinki
120828,2161,Isterintie E,,65.003768,25.547133,2,,0,,Europe/Helsinki
101718,1135,Niskala th E,,65.323519,25.647563,5,,0,,Europe/Helsinki
101279,1952,Siltala P,,65.02700400000002,25.994526,4,,0,,Europe/Helsinki
184624,2975,Virkkula E,,64.816444,25.327469,4,,0,,Europe/Helsinki
101746,1065,Pohjukkaoja E,,65.36469700000002,25.798615,5,,0,,Europe/Helsinki
120638,1906,Tervahovintie P,,65.040038,25.460181,2,,0,,Europe/Helsinki
190296,1559,Vaajatie P,,65.118753,25.336913,3,,0,,Europe/Helsinki
120603,1845,Rantakoskela P,,65.04692300000002,25.479027,2,,0,,Europe/Helsinki
147994,2876,Rajakorven th P,,64.845286,25.54926,4,,0,,Europe/Helsinki
101621,1442,Hurunmäki P,,65.154917,25.617068,3,,0,,Europe/Helsinki
120852,2190,Radiomastontie P,,65.00164700000002,25.530265,2,,0,,Europe/Helsinki
148011,3042,Salosentie E,,64.78879000000002,25.628171,4,,0,,Europe/Helsinki
120387,1608,Jäälihalli E,,65.093271,25.685905,3,,0,,Europe/Helsinki
186175,3319,Rita-aukio E,,65.08050278,25.45312222,2,,0,,Europe/Helsinki
150060,2817,Rasila P,,64.867074,25.597599,3,,0,,Europe/Helsinki
148098,2337,Eskelisentie P,,64.979716,25.626699,2,,0,,Europe/Helsinki
101495,1259,Saanionpolku P,,65.251569,25.353498,3,,0,,Europe/Helsinki
120986,2359,Kivipellon aukio P,,64.977563,25.586348,2,,0,,Europe/Helsinki
188493,1976,Typpitie E,,65.027404,25.512272,2,,0,,Europe/Helsinki
189530,2919,Tyrnävän th P,,64.824007,25.937719,4,,0,,Europe/Helsinki
307143,3364,Vedenneidontie P,,64.93498,25.564713,3,,0,,Europe/Helsinki
184134,3255,Tullikirjurinraitti E,,65.005476,25.472684,1,,0,,Europe/Helsinki
101016,2958,Mikkola E,,64.820775,25.27307,4,,0,,Europe/Helsinki
101297,1926,Makasiinikangas E,,65.02853500000002,26.140857,4,,0,,Europe/Helsinki
98755,2840,Keränen E,,64.85281500000002,25.896291,4,,0,,Europe/Helsinki
148434,1355,Harjunkangas P,,65.187373,25.471743,4,,0,,Europe/Helsinki
101051,2609,Oulunsalon museo P,,64.936484,25.417585,3,,0,,Europe/Helsinki
152760,1841,Polvisuontie P,,65.045596,25.64718,2,,0,,Europe/Helsinki
101547,1671,Keskuskatu E,,65.078262,25.408468,2,,0,,Europe/Helsinki
120934,2295,Vaskitie E,,64.989415,25.507221,2,,0,,Europe/Helsinki
152885,2429,Paasilanmäki E,,64.95898,26.00072,4,,0,,Europe/Helsinki
148452,1327,Siikasaari E,,65.194641,25.34815,3,,0,,Europe/Helsinki
120784,2097,Välkkylä P,,65.011392,25.498888,2,,0,,Europe/Helsinki
120287,1492,Viitanmäki E,,65.131179,25.765951,3,,0,,Europe/Helsinki
120656,1937,Alppila P,,65.034983,25.465016,2,,0,,Europe/Helsinki
101724,1117,Suoranpää E,,65.333859,25.68177,5,,0,,Europe/Helsinki
101075,2413,Heikola P,,64.971848,25.346235,3,,0,,Europe/Helsinki
120981,2353,Kangasrinne E,,64.978743,25.582176,2,,0,,Europe/Helsinki
184249,1203,Patosillan th E,,65.31316,25.532698,4,,0,,Europe/Helsinki
171805,2364,Karhunkedontie P,,64.978668,25.485936,2,,0,,Europe/Helsinki
120786,2098,Raksila P,,65.011819,25.490549,2,,0,,Europe/Helsinki
101700,1138,Yliranta E,,65.324671,25.494647,4,,0,,Europe/Helsinki
120498,1724,Hanhikkitie P,,65.06867200000002,25.429767,2,,0,,Europe/Helsinki
120959,2326,Patamäen koulu E,,64.983245,25.582891,2,,0,,Europe/Helsinki
101744,1067,Puolakka E,,65.364221,25.789631,5,,0,,Europe/Helsinki
98743,2792,Tuomi talli E,,64.880074,25.84988,4,,0,,Europe/Helsinki
150269,1468,Hautakangas P,,65.14052100000002,25.629945,3,,0,,Europe/Helsinki
190228,2448,Santaniemi E,,64.967877,25.25749,3,,0,,Europe/Helsinki
101291,1892,Tielaitos P,,65.031921,26.101907,4,,0,,Europe/Helsinki
101605,1375,Pirttikoski P,,65.181106,25.525023,4,,0,,Europe/Helsinki
184622,3101,Rehu E,,65.193316,25.438126,4,,0,,Europe/Helsinki
120891,2234,Merikotka E,,64.99532600000002,25.515243,2,,0,,Europe/Helsinki
152733,1520,Kiimingin yläaste P,,65.126248,25.784967,3,,0,,Europe/Helsinki
101298,1927,Makasiinikangas P,,65.02845600000002,26.141072,4,,0,,Europe/Helsinki
152848,2257,Metsälä P,,64.98685500000002,25.932742,4,,0,,Europe/Helsinki
148479,1552,Virpiniemen th P,,65.121871,25.343875,3,,0,,Europe/Helsinki
120750,2055,Värtöntie P,,65.019509,25.520329,2,,0,,Europe/Helsinki
120328,1541,Autokuja E,,65.12003900000002,25.741274,3,,0,,Europe/Helsinki
101312,2243,Seluskajärvi th P,,64.98821700000002,26.045102,4,,0,,Europe/Helsinki
101059,2719,Tiilitie P,,64.912391,25.497663,3,,0,,Europe/Helsinki
120496,1722,Karjakenttä P,,65.06817700000002,25.490653,2,,0,,Europe/Helsinki
120086,1283,Laitakarintie P,,65.216516,25.300078,3,,0,,Europe/Helsinki
101743,1075,Keskikylä P,,65.359816,25.781775,5,,0,,Europe/Helsinki
97778,2835,Ojala P,,64.855256,25.91112,4,,0,,Europe/Helsinki
120741,2046,Koivumaantien ostoskeskus P,,65.019639,25.551914,2,,0,,Europe/Helsinki
121108,2504,Siipikuja P,,64.958559,25.5303,2,,0,,Europe/Helsinki
120612,1862,Kivennuoli P,,65.044442,25.484733,2,,0,,Europe/Helsinki
120793,2105,Kastellinhäkki P,,65.009602,25.525341,2,,0,,Europe/Helsinki
307148,3361,Satumaantie E,,64.927216,25.559971,3,,0,,Europe/Helsinki
101590,2729,Vanhapappila E,,64.907526,25.520712,3,,0,,Europe/Helsinki
101023,2967,Niemelä P,,64.819242,25.314596,4,,0,,Europe/Helsinki
98710,2440,Sivutie th P,,64.964333,25.633776,2,,0,,Europe/Helsinki
120976,2346,Snellmanintie E,,64.98153600000002,25.497109,2,,0,,Europe/Helsinki
120360,1578,Kuokkamaa E,,65.110688,25.343422,3,,0,,Europe/Helsinki
148009,3037,Kasvi E,,64.793245,25.624873,4,,0,,Europe/Helsinki
153128,3005,Liminka yläaste P,,64.81054,25.414051,4,,0,,Europe/Helsinki
120764,2072,Uimaranta E,,65.01451,25.548459,2,,0,,Europe/Helsinki
